Fraction,Profit,Realm,Week Num
alliance,20907963.689790536,frostmourne,40.0
alliance,21281326.422029965,frostmourne,41.0
alliance,23358946.466274876,sargeras,11.0
alliance,25580216.049261607,sargeras,12.0
alliance,24021840.1016097,sargeras,13.0
alliance,23734991.26819004,sargeras,14.0
alliance,24800820.821908366,sargeras,15.0
alliance,24437786.90446077,sargeras,16.0
alliance,26189951.021826647,sargeras,17.0
alliance,25333545.291926153,sargeras,18.0
alliance,29538106.01351607,sargeras,19.0
alliance,33117604.8746433,sargeras,20.0
alliance,30361682.592970625,sargeras,21.0
alliance,32041156.67084022,sargeras,22.0
alliance,32482945.992730025,sargeras,23.0
alliance,33406493.862295374,sargeras,24.0
alliance,35093711.01072608,sargeras,25.0
alliance,33235395.836629547,sargeras,26.0
alliance,33575558.516440004,sargeras,27.0
alliance,33765636.00889062,sargeras,28.0
alliance,34411962.56323136,sargeras,29.0
alliance,33249831.88833824,sargeras,30.0
alliance,32456353.23937151,sargeras,31.0
alliance,34399986.44292447,sargeras,32.0
alliance,36117535.19456482,sargeras,33.0
alliance,37730214.829725444,sargeras,34.0
alliance,28335767.702139918,sargeras,35.0
alliance,35161700.12466754,sargeras,36.0
alliance,37177203.33019784,sargeras,37.0
alliance,36433425.88813935,sargeras,38.0
alliance,27972717.861447804,sargeras,39.0
alliance,30490576.082973927,sargeras,40.0
alliance,30453313.220557,sargeras,41.0
alliance,6121929.219908341,zuljin,11.0
alliance,7511675.36845119,zuljin,12.0
alliance,7619739.867406704,zuljin,13.0
alliance,6763883.818046677,zuljin,14.0
alliance,7449548.0809269305,zuljin,15.0
alliance,8380098.204569015,zuljin,16.0
alliance,5447031.31891572,zuljin,17.0
alliance,4143289.8648309545,zuljin,18.0
alliance,4325163.009229047,zuljin,19.0
alliance,5713308.17821,zuljin,20.0
alliance,4063312.0219730963,zuljin,21.0
alliance,5278683.7952447655,zuljin,22.0
alliance,4577670.323401197,zuljin,23.0
alliance,5010621.565673343,zuljin,24.0
alliance,5487519.737111433,zuljin,25.0
alliance,6465747.532755969,zuljin,26.0
alliance,6918387.560729749,zuljin,27.0
alliance,6444719.769996203,zuljin,28.0
alliance,6478865.140725717,zuljin,29.0
alliance,7329745.84030001,zuljin,30.0
alliance,7184051.259385726,zuljin,31.0
alliance,6286275.281430026,zuljin,32.0
alliance,6136514.938659061,zuljin,33.0
alliance,6109202.713402845,zuljin,34.0
alliance,7085959.866640009,zuljin,35.0
alliance,6334270.63190264,zuljin,36.0
alliance,5947504.092860967,zuljin,37.0
